
0.000000,10.000000,10.000000,10.000000,10.000000,10.000000
0.100000,9.000000,9.900000,9.990000,9.999000,8.999900
0.200000,8.190000,9.738000,9.965700,9.895760,8.189496
0.300000,7.525800,9.539550,9.916091,9.727166,7.524313
0.400000,6.974595,9.320708,9.837660,9.517930,6.971244
0.500000,6.511746,9.091507,9.731071,9.284575,6.505453
0.600000,6.118548,8.858168,9.599132,9.038118,6.108174
0.700000,5.780655,8.624513,9.445568,8.785869,5.765126
0.800000,5.486975,8.392864,9.274328,8.532640,5.465364
0.900000,5.228867,8.164611,9.089188,8.281568,5.200449
1.000000,4.999554,7.940563,8.893563,8.034656,4.963824
1.100000,4.793700,7.721177,8.690434,7.793150,4.750374
1.200000,4.607078,7.506692,8.482331,7.557791,4.556078
1.300000,4.436331,7.297220,8.271366,7.328977,4.377760
1.400000,4.278787,7.092792,8.059270,7.106885,4.212897
1.500000,4.132309,6.893391,7.847444,6.891542,4.059472
1.600000,3.995186,6.698976,7.637007,6.682881,3.915865
1.700000,3.866047,6.509486,7.428842,6.480776,3.780770
1.800000,3.743786,6.324852,7.223637,6.285061,3.653122
1.900000,3.627514,6.144997,7.021915,6.095553,3.532053
